"x"
29
62
35
73
38
71
68
30
76
37
32
74
34
30
28
64
68
73
26
77
67
62
26
39
62
33
67
25
63
31
70
68
29
34
33
28
33
28
33
33
28
25
29
40
40
68
68
60
62
62
68
73
60
28
61
60
37
72
63
61
64
63
69
62
63
61
60
